"Item_Stock_No";"In_Stock";"Item_Reserved_YN";"Shelf_Location";"Platform_Title_Id";"Rental_Fee";"Late_Fee"
"A10044";"1";"N";"A10044";"60";"5.9900";"2.9900"
"A10044";"1";"N";"A10044";"61";"5.9900";"2.9900"
"A10045";"1";"N";"A10045";"62";"5.9900";"2.9900"
"A10046";"1";"N";"A10046";"63";"5.9900";"2.9900"
"A10047";"1";"N";"A10047";"64";"7.9900";"2.9900"
"A10048";"1";"N";"A10048";"65";"5.9900";"2.9900"
"A10048";"1";"N";"A10048";"66";"5.9900";"2.9900"
"A10049";"1";"N";"A10049";"67";"5.9900";"2.9900"
"A10049";"1";"N";"A10049";"68";"5.9900";"2.9900"
"A10050";"1";"N";"A10050";"69";"5.9900";"2.9900"
"A10050";"1";"N";"A10050";"70";"5.9900";"2.9900"
"A10051";"1";"N";"A10051";"71";"5.9900";"2.9900"
"A10052";"1";"N";"A10052";"72";"7.9900";"2.9900"
"A10053";"1";"N";"A10053";"73";"5.9900";"2.9900"
"A10054";"1";"N";"A10054";"74";"5.9900";"2.9900"
"A10055";"1";"N";"A10055";"75";"7.9900";"2.9900"
"A10056";"1";"N";"A10056";"76";"5.9900";"2.9900"
"A10057";"1";"N";"A10057";"77";"5.9900";"2.9900"
"A10058";"1";"N";"A10058";"78";"5.9900";"2.9900"
"A10059";"1";"N";"A10059";"79";"5.9900";"2.9900"
"A10060";"1";"N";"A10060";"80";"5.9900";"2.9900"
"A10061";"1";"N";"A10061";"81";"7.9900";"2.9900"
"A10061";"1";"N";"A10061";"82";"7.9900";"2.9900"
"A10062";"1";"N";"A10062";"83";"5.9900";"2.9900"
"A10063";"1";"N";"A10063";"84";"5.9900";"2.9900"
"A10063";"1";"N";"A10063";"85";"5.9900";"2.9900"
"A10065";"1";"N";"A10065";"86";"5.9900";"2.9900"
"A10066";"1";"N";"A10066";"87";"5.9900";"2.9900"
"A10067";"1";"N";"A10067";"88";"5.9900";"2.9900"
"A10068";"1";"N";"A10068";"89";"5.9900";"2.9900"
"A10069";"1";"N";"A10069";"90";"5.9900";"2.9900"
"A10070";"1";"N";"A10070";"91";"5.9900";"2.9900"
"A10071";"1";"N";"A10071";"92";"5.9900";"2.9900"
"A10072";"1";"N";"A10072";"93";"7.9900";"2.9900"
"A10072";"1";"N";"A10072";"94";"7.9900";"2.9900"
"A10072";"1";"N";"A10072";"95";"7.9900";"2.9900"
"A10072";"1";"N";"A10072";"96";"7.9900";"2.9900"
"A10073";"1";"N";"A10073";"97";"7.9900";"2.9900"
"A10074";"1";"N";"A10074";"98";"7.9900";"2.9900"
"A10075";"1";"N";"A10075";"99";"5.9900";"2.9900"
"A10075";"1";"N";"A10075";"100";"5.9900";"2.9900"
"A10076";"1";"N";"A10076";"101";"5.9900";"2.9900"
"A10076";"1";"N";"A10076";"102";"5.9900";"2.9900"
"A10077";"1";"N";"A10077";"103";"5.9900";"2.9900"
"A10077";"1";"N";"A10077";"104";"5.9900";"2.9900"
"A10078";"1";"N";"A10078";"105";"5.9900";"2.9900"
"A10078";"1";"N";"A10078";"106";"5.9900";"2.9900"
"A10080";"1";"N";"A10080";"107";"5.9900";"2.9900"
"A10081";"1";"N";"A10081";"108";"5.9900";"2.9900"
"A10081";"1";"N";"A10081";"109";"5.9900";"2.9900"
"A10082";"1";"N";"A10082";"110";"5.9900";"2.9900"
"A10083";"1";"N";"A10083";"111";"5.9900";"2.9900"
"A10084";"1";"N";"A10084";"112";"5.9900";"2.9900"
"A10085";"1";"N";"A10085";"113";"5.9900";"2.9900"
"A10085";"1";"N";"A10085";"114";"5.9900";"2.9900"
"A10086";"1";"N";"A10086";"115";"4.9900";"2.9900"
"A10087";"1";"N";"A10087";"116";"7.9900";"2.9900"
"A10088";"1";"N";"A10088";"117";"5.9900";"2.9900"
"A10089";"1";"N";"A10089";"118";"7.9900";"2.9900"
"A10090";"1";"N";"A10090";"119";"5.9900";"2.9900"
"A10090";"1";"N";"A10090";"120";"5.9900";"2.9900"
"A10091";"1";"N";"A10091";"121";"5.9900";"2.9900"
"A10091";"1";"N";"A10091";"122";"5.9900";"2.9900"
"A10092";"1";"N";"A10092";"123";"5.9900";"2.9900"
"A10093";"1";"N";"A10093";"124";"7.9900";"2.9900"
"A10093";"1";"N";"A10093";"125";"7.9900";"2.9900"
"A10093";"1";"N";"A10093";"126";"7.9900";"2.9900"
"A10093";"1";"N";"A10093";"127";"7.9900";"2.9900"
"A10093";"1";"N";"A10093";"128";"7.9900";"2.9900"
"A10094";"1";"N";"A10094";"129";"4.9900";"2.9900"
"A10094";"1";"N";"A10094";"130";"4.9900";"2.9900"
"A10094";"1";"N";"A10094";"131";"4.9900";"2.9900"
"A10096";"1";"N";"A10096";"132";"7.9900";"2.9900"
"A10097";"1";"N";"A10097";"133";"4.9900";"2.9900"
"A10098";"1";"N";"A10098";"134";"7.9900";"2.9900"
"A10099";"1";"N";"A10099";"135";"5.9900";"2.9900"
"A10099";"1";"N";"A10099";"136";"5.9900";"2.9900"
"A10100";"1";"N";"A10100";"137";"5.9900";"2.9900"
"A10100";"1";"N";"A10100";"138";"5.9900";"2.9900"
"A10101";"1";"N";"A10101";"139";"5.9900";"2.9900"
"A10102";"1";"N";"A10102";"140";"7.9900";"2.9900"
"A10103";"1";"N";"A10103";"141";"5.9900";"2.9900"
"A10104";"1";"N";"A10104";"142";"5.9900";"2.9900"
"A10105";"1";"N";"A10105";"143";"5.9900";"2.9900"
"A10106";"1";"N";"A10106";"144";"5.9900";"2.9900"
"A10107";"1";"N";"A10107";"145";"5.9900";"2.9900"
"A10108";"1";"N";"A10108";"146";"5.9900";"2.9900"
"A10108";"1";"N";"A10108";"147";"5.9900";"2.9900"
"A10109";"1";"N";"A10109";"148";"5.9900";"2.9900"
"A10110";"1";"N";"A10110";"149";"7.9900";"2.9900"
"A10110";"1";"N";"A10110";"150";"7.9900";"2.9900"
"A10112";"1";"N";"A10112";"151";"5.9900";"2.9900"
"A10113";"1";"N";"A10113";"152";"7.9900";"2.9900"
"A10114";"1";"N";"A10114";"153";"7.9900";"2.9900"
"A10115";"1";"N";"A10115";"154";"5.9900";"2.9900"
"A10115";"1";"N";"A10115";"155";"5.9900";"2.9900"
"A10116";"1";"N";"A10116";"156";"5.9900";"2.9900"
"A10117";"1";"N";"A10117";"157";"5.9900";"2.9900"
"A10117";"1";"N";"A10117";"158";"5.9900";"2.9900"
"A10118";"1";"N";"A10118";"159";"5.9900";"2.9900"
"A10119";"1";"N";"A10119";"160";"5.9900";"2.9900"
"A10120";"1";"N";"A10120";"161";"5.9900";"2.9900"
"A10120";"1";"N";"A10120";"162";"5.9900";"2.9900"
"A10121";"1";"N";"A10121";"163";"5.9900";"2.9900"
"A10121";"1";"N";"A10121";"164";"5.9900";"2.9900"
"A10122";"1";"N";"A10122";"165";"5.9900";"2.9900"
"A10122";"1";"N";"A10122";"166";"5.9900";"2.9900"
"A10123";"1";"N";"A10123";"167";"7.9900";"2.9900"
"A10123";"1";"N";"A10123";"168";"7.9900";"2.9900"
"A10123";"1";"N";"A10123";"169";"7.9900";"2.9900"
"A10124";"1";"N";"A10124";"170";"5.9900";"2.9900"
"A10125";"1";"N";"A10125";"171";"5.9900";"2.9900"
"A10125";"1";"N";"A10125";"172";"5.9900";"2.9900"
"A10126";"1";"N";"A10126";"173";"5.9900";"2.9900"
"A10126";"1";"N";"A10126";"174";"5.9900";"2.9900"
"A10127";"1";"N";"A10127";"175";"4.9900";"2.9900"
"A10127";"1";"N";"A10127";"176";"4.9900";"2.9900"
"A10128";"1";"N";"A10128";"177";"5.9900";"2.9900"
"A10129";"1";"N";"A10129";"178";"5.9900";"2.9900"
"A10130";"1";"N";"A10130";"179";"7.9900";"2.9900"
"A10130";"1";"N";"A10130";"180";"7.9900";"2.9900"
"A10131";"1";"N";"A10131";"181";"7.9900";"2.9900"
"A10131";"1";"N";"A10131";"182";"7.9900";"2.9900"
"A10132";"1";"N";"A10132";"183";"7.9900";"2.9900"
"A10132";"1";"N";"A10132";"184";"7.9900";"2.9900"
"A10133";"1";"N";"A10133";"185";"7.9900";"2.9900"
"A10133";"1";"N";"A10133";"186";"7.9900";"2.9900"
"A10134";"1";"N";"A10134";"187";"5.9900";"2.9900"
"A10135";"1";"N";"A10135";"188";"5.9900";"2.9900"
"A10136";"1";"N";"A10136";"189";"5.9900";"2.9900"
"A10136";"1";"N";"A10136";"190";"5.9900";"2.9900"
"A10137";"1";"N";"A10137";"191";"4.9900";"2.9900"
"A10137";"1";"N";"A10137";"192";"4.9900";"2.9900"
"A10137";"1";"N";"A10137";"193";"4.9900";"2.9900"
"A10138";"1";"N";"A10138";"194";"5.9900";"2.9900"
"A10138";"1";"N";"A10138";"195";"5.9900";"2.9900"
"A10139";"1";"N";"A10139";"196";"7.9900";"2.9900"
"A10139";"1";"N";"A10139";"197";"7.9900";"2.9900"
"A10139";"1";"N";"A10139";"198";"7.9900";"2.9900"
"A10139";"1";"N";"A10139";"199";"7.9900";"2.9900"
"A10139";"1";"N";"A10139";"200";"7.9900";"2.9900"
"A10140";"1";"N";"A10140";"201";"5.9900";"2.9900"
"A10141";"1";"N";"A10141";"202";"5.9900";"2.9900"
"A10142";"1";"N";"A10142";"203";"5.9900";"2.9900"
"A10142";"1";"N";"A10142";"204";"5.9900";"2.9900"
"A10143";"1";"N";"A10143";"205";"7.9900";"2.9900"
"A10144";"1";"N";"A10144";"206";"7.9900";"2.9900"
"A10145";"1";"N";"A10145";"207";"5.9900";"2.9900"
"A10145";"1";"N";"A10145";"208";"5.9900";"2.9900"
"A10146";"1";"N";"A10146";"209";"5.9900";"2.9900"
"A10147";"1";"N";"A10147";"210";"5.9900";"2.9900"
"A10148";"1";"N";"A10148";"211";"5.9900";"2.9900"
"A10148";"1";"N";"A10148";"212";"5.9900";"2.9900"
"A10149";"1";"N";"A10149";"213";"7.9900";"2.9900"
"A10150";"1";"N";"A10150";"214";"5.9900";"2.9900"
"A10151";"1";"N";"A10151";"215";"7.9900";"2.9900"
"A10151";"1";"N";"A10151";"216";"7.9900";"2.9900"
"A10152";"1";"N";"A10152";"217";"5.9900";"2.9900"
"A10153";"1";"N";"A10153";"218";"5.9900";"2.9900"
"A10154";"1";"N";"A10154";"219";"7.9900";"2.9900"
"A10155";"1";"N";"A10155";"220";"7.9900";"2.9900"
"A10155";"1";"N";"A10155";"221";"7.9900";"2.9900"
"A10156";"1";"N";"A10156";"222";"5.9900";"2.9900"
"A10157";"1";"N";"A10157";"223";"5.9900";"2.9900"
"A10157";"1";"N";"A10157";"224";"5.9900";"2.9900"
"A10158";"1";"N";"A10158";"225";"5.9900";"2.9900"
"A10159";"1";"N";"A10159";"226";"5.9900";"2.9900"
"A10160";"1";"N";"A10160";"227";"5.9900";"2.9900"
"A10161";"1";"N";"A10161";"228";"5.9900";"2.9900"
"A10162";"1";"N";"A10162";"229";"5.9900";"2.9900"
"A10163";"1";"N";"A10163";"230";"5.9900";"2.9900"
"A10164";"1";"N";"A10164";"231";"5.9900";"2.9900"
"A10165";"1";"N";"A10165";"232";"7.9900";"2.9900"
"A10166";"1";"N";"A10166";"233";"5.9900";"2.9900"
"A10167";"1";"N";"A10167";"234";"7.9900";"2.9900"
"A10168";"1";"N";"A10168";"235";"5.9900";"2.9900"
"A10169";"1";"N";"A10169";"236";"5.9900";"2.9900"
"A10170";"1";"N";"A10170";"237";"5.9900";"2.9900"
"A10171";"1";"N";"A10171";"238";"7.9900";"2.9900"
"A10171";"1";"N";"A10171";"239";"7.9900";"2.9900"
"A10172";"1";"N";"A10172";"240";"7.9900";"2.9900"
"A10172";"1";"N";"A10172";"241";"7.9900";"2.9900"
"A10174";"1";"N";"A10174";"242";"7.9900";"2.9900"
"A10174";"1";"N";"A10174";"243";"7.9900";"2.9900"
"A10175";"1";"N";"A10175";"244";"5.9900";"2.9900"
"A10175";"1";"N";"A10175";"245";"5.9900";"2.9900"
"A10176";"1";"N";"A10176";"246";"5.9900";"2.9900"
"A10177";"1";"N";"A10177";"247";"5.9900";"2.9900"
"A10178";"1";"N";"A10178";"248";"5.9900";"2.9900"
"A10179";"1";"N";"A10179";"249";"5.9900";"2.9900"
"A10179";"1";"N";"A10179";"250";"5.9900";"2.9900"
"A10180";"1";"N";"A10180";"251";"5.9900";"2.9900"
"A10180";"1";"N";"A10180";"252";"5.9900";"2.9900"
"A10181";"1";"N";"A10181";"253";"5.9900";"2.9900"
"A10182";"1";"N";"A10182";"254";"4.9900";"2.9900"
"A10183";"1";"N";"A10183";"255";"5.9900";"2.9900"
"A10183";"1";"N";"A10183";"256";"5.9900";"2.9900"
"A10184";"1";"N";"A10184";"257";"5.9900";"2.9900"
"A10185";"1";"N";"A10185";"258";"5.9900";"2.9900"
"A10186";"1";"N";"A10186";"259";"5.9900";"2.9900"
"A10187";"1";"N";"A10187";"260";"5.9900";"2.9900"
"A10188";"1";"N";"A10188";"261";"7.9900";"2.9900"
"A10188";"1";"N";"A10188";"262";"7.9900";"2.9900"
"A10190";"1";"N";"A10190";"263";"7.9900";"2.9900"
"A10191";"1";"N";"A10191";"264";"5.9900";"2.9900"
"A10191";"1";"N";"A10191";"265";"5.9900";"2.9900"
"A10192";"1";"N";"A10192";"266";"5.9900";"2.9900"
"A10193";"1";"N";"A10193";"267";"5.9900";"2.9900"
"A10194";"1";"N";"A10194";"268";"5.9900";"2.9900"
"A10195";"1";"N";"A10195";"269";"5.9900";"2.9900"
"A10195";"1";"N";"A10195";"270";"5.9900";"2.9900"
"A10196";"1";"N";"A10196";"271";"5.9900";"2.9900"
"A10197";"1";"N";"A10197";"272";"4.9900";"2.9900"
"A10198";"1";"N";"A10198";"273";"5.9900";"2.9900"
"A10198";"1";"N";"A10198";"274";"5.9900";"2.9900"
"A10199";"1";"N";"A10199";"275";"7.9900";"2.9900"
"A10199";"1";"N";"A10199";"276";"7.9900";"2.9900"
"A10200";"1";"N";"A10200";"277";"4.9900";"2.9900"
"A10200";"1";"N";"A10200";"278";"4.9900";"2.9900"
"A10200";"1";"N";"A10200";"279";"4.9900";"2.9900"
"A10201";"1";"N";"A10201";"280";"5.9900";"2.9900"
"A10201";"1";"N";"A10201";"281";"5.9900";"2.9900"
"A10202";"1";"N";"A10202";"282";"5.9900";"2.9900"
"A10203";"1";"N";"A10203";"283";"7.9900";"2.9900"
"A10204";"1";"N";"A10204";"284";"7.9900";"2.9900"
"A10205";"1";"N";"A10205";"285";"7.9900";"2.9900"
"A10206";"1";"N";"A10206";"286";"5.9900";"2.9900"
"A10206";"1";"N";"A10206";"287";"5.9900";"2.9900"
"A10208";"1";"N";"A10208";"288";"7.9900";"2.9900"
"A10209";"1";"N";"A10209";"289";"5.9900";"2.9900"
"A10210";"1";"N";"A10210";"290";"5.9900";"2.9900"
"A10211";"1";"N";"A10211";"291";"7.9900";"2.9900"
"A10212";"1";"N";"A10212";"292";"5.9900";"2.9900"
"A10213";"1";"N";"A10213";"293";"5.9900";"2.9900"
"A10214";"1";"N";"A10214";"294";"7.9900";"2.9900"
"A10214";"1";"N";"A10214";"295";"7.9900";"2.9900"
"A10215";"1";"N";"A10215";"296";"7.9900";"2.9900"
"A10215";"1";"N";"A10215";"297";"7.9900";"2.9900"
"A10216";"1";"N";"A10216";"298";"5.9900";"2.9900"
"A10216";"1";"N";"A10216";"299";"5.9900";"2.9900"
"A10217";"1";"N";"A10217";"300";"5.9900";"2.9900"
"A10218";"1";"N";"A10218";"301";"5.9900";"2.9900"
"A10218";"1";"N";"A10218";"302";"5.9900";"2.9900"
"A10219";"1";"N";"A10219";"303";"5.9900";"2.9900"
"A10220";"1";"N";"A10220";"304";"5.9900";"2.9900"
"A10221";"1";"N";"A10221";"305";"7.9900";"2.9900"
"A10221";"1";"N";"A10221";"306";"7.9900";"2.9900"
"A10221";"1";"N";"A10221";"307";"7.9900";"2.9900"
"A10221";"1";"N";"A10221";"308";"7.9900";"2.9900"
"A10222";"1";"N";"A10222";"309";"7.9900";"2.9900"
"A10222";"1";"N";"A10222";"310";"7.9900";"2.9900"
"A10222";"1";"N";"A10222";"311";"7.9900";"2.9900"
"A10222";"1";"N";"A10222";"312";"7.9900";"2.9900"
"A10224";"1";"N";"A10224";"313";"5.9900";"2.9900"
"A10224";"1";"N";"A10224";"314";"5.9900";"2.9900"
"A10225";"1";"N";"A10225";"315";"5.9900";"2.9900"
"A10225";"1";"N";"A10225";"316";"5.9900";"2.9900"
"A10226";"1";"N";"A10226";"317";"5.9900";"2.9900"
"A10227";"1";"N";"A10227";"318";"5.9900";"2.9900"
"A10227";"1";"N";"A10227";"319";"5.9900";"2.9900"
"A10228";"1";"N";"A10228";"320";"5.9900";"2.9900"
"A10229";"1";"N";"A10229";"321";"5.9900";"2.9900"
"A10230";"1";"N";"A10230";"322";"4.9900";"2.9900"
"A10230";"1";"N";"A10230";"323";"4.9900";"2.9900"
"A10230";"1";"N";"A10230";"324";"4.9900";"2.9900"
"A10232";"1";"N";"A10232";"325";"4.9900";"2.9900"
"A10233";"1";"N";"A10233";"326";"4.9900";"2.9900"
"A10234";"1";"N";"A10234";"327";"5.9900";"2.9900"
"A10235";"1";"N";"A10235";"328";"5.9900";"2.9900"
"A10236";"1";"N";"A10236";"329";"5.9900";"2.9900"
"A10236";"1";"N";"A10236";"330";"5.9900";"2.9900"
"A10237";"1";"N";"A10237";"331";"5.9900";"2.9900"
"A10237";"1";"N";"A10237";"332";"5.9900";"2.9900"
"A10238";"1";"N";"A10238";"333";"5.9900";"2.9900"
"A10238";"1";"N";"A10238";"334";"5.9900";"2.9900"
"A10239";"1";"N";"A10239";"335";"5.9900";"2.9900"
"A10239";"1";"N";"A10239";"336";"5.9900";"2.9900"
"A10240";"1";"N";"A10240";"337";"4.9900";"2.9900"
"A10240";"1";"N";"A10240";"338";"4.9900";"2.9900"
"A10240";"1";"N";"A10240";"339";"4.9900";"2.9900"
"A10241";"1";"N";"A10241";"340";"5.9900";"2.9900"
"A10241";"1";"N";"A10241";"341";"5.9900";"2.9900"
"A10242";"1";"N";"A10242";"342";"5.9900";"2.9900"
"A10242";"1";"N";"A10242";"343";"5.9900";"2.9900"
"A10243";"1";"N";"A10243";"344";"5.9900";"2.9900"
"A10244";"1";"N";"A10244";"345";"7.9900";"2.9900"
"A10245";"1";"N";"A10245";"346";"5.9900";"2.9900"
"A10245";"1";"N";"A10245";"347";"5.9900";"2.9900"
"A10246";"1";"N";"A10246";"348";"5.9900";"2.9900"
"A10247";"1";"N";"A10247";"349";"7.9900";"2.9900"
"A10247";"1";"N";"A10247";"350";"7.9900";"2.9900"
"A10249";"1";"N";"A10249";"351";"5.9900";"2.9900"
"A10250";"1";"N";"A10250";"352";"5.9900";"2.9900"
"A10251";"1";"N";"A10251";"353";"5.9900";"2.9900"
"A10252";"1";"N";"A10252";"354";"5.9900";"2.9900"
"A10253";"1";"N";"A10253";"355";"5.9900";"2.9900"
"A10253";"1";"N";"A10253";"356";"5.9900";"2.9900"
"A10254";"1";"N";"A10254";"357";"5.9900";"2.9900"
"A10255";"1";"N";"A10255";"358";"5.9900";"2.9900"
"A10256";"1";"N";"A10256";"359";"5.9900";"2.9900"
"A10257";"1";"N";"A10257";"360";"5.9900";"2.9900"
"A10258";"1";"N";"A10258";"361";"5.9900";"2.9900"
"A10259";"1";"N";"A10259";"362";"5.9900";"2.9900"
"A10259";"1";"N";"A10259";"363";"5.9900";"2.9900"
"A10260";"1";"N";"A10260";"364";"5.9900";"2.9900"
"A10261";"1";"N";"A10261";"365";"5.9900";"2.9900"
"A10262";"1";"N";"A10262";"366";"5.9900";"2.9900"
"A10262";"1";"N";"A10262";"367";"5.9900";"2.9900"
"A10264";"1";"N";"A10264";"368";"5.9900";"2.9900"
"A10264";"1";"N";"A10264";"369";"5.9900";"2.9900"
"A10265";"1";"N";"A10265";"370";"5.9900";"2.9900"
"A10266";"1";"N";"A10266";"371";"5.9900";"2.9900"
"A10267";"1";"N";"A10267";"372";"5.9900";"2.9900"
"A10267";"1";"N";"A10267";"373";"5.9900";"2.9900"
"A10268";"1";"N";"A10268";"374";"5.9900";"2.9900"
"A10269";"1";"N";"A10269";"375";"5.9900";"2.9900"
"A10270";"1";"N";"A10270";"376";"5.9900";"2.9900"
"A10271";"1";"N";"A10271";"377";"7.9900";"2.9900"
"A10272";"1";"N";"A10272";"378";"5.9900";"2.9900"
"A10272";"1";"N";"A10272";"379";"5.9900";"2.9900"
"A10273";"1";"N";"A10273";"380";"5.9900";"2.9900"
"A10274";"1";"N";"A10274";"381";"5.9900";"2.9900"
"A10275";"1";"N";"A10275";"382";"5.9900";"2.9900"
"A10276";"1";"N";"A10276";"383";"7.9900";"2.9900"
"A10277";"1";"N";"A10277";"384";"5.9900";"2.9900"
"A10277";"1";"N";"A10277";"385";"5.9900";"2.9900"
"A10278";"1";"N";"A10278";"386";"5.9900";"2.9900"
"A10278";"1";"N";"A10278";"387";"5.9900";"2.9900"
"A10279";"1";"N";"A10279";"388";"5.9900";"2.9900"
"A10280";"1";"N";"A10280";"389";"5.9900";"2.9900"
"A10281";"1";"N";"A10281";"390";"5.9900";"2.9900"
"A10282";"1";"N";"A10282";"391";"5.9900";"2.9900"
"A10282";"1";"N";"A10282";"392";"5.9900";"2.9900"
"A10283";"1";"N";"A10283";"393";"5.9900";"2.9900"
"A10283";"1";"N";"A10283";"394";"5.9900";"2.9900"
"A10284";"1";"N";"A10284";"395";"7.9900";"2.9900"
"A10285";"1";"N";"A10285";"396";"5.9900";"2.9900"
"A10286";"1";"N";"A10286";"397";"5.9900";"2.9900"
"A10286";"1";"N";"A10286";"398";"5.9900";"2.9900"
"A10287";"1";"N";"A10287";"399";"5.9900";"2.9900"
"A10288";"1";"N";"A10288";"400";"7.9900";"2.9900"
"A10288";"1";"N";"A10288";"401";"7.9900";"2.9900"
"A10288";"1";"N";"A10288";"402";"7.9900";"2.9900"
"A10289";"1";"N";"A10289";"403";"5.9900";"2.9900"
"A10289";"1";"N";"A10289";"404";"5.9900";"2.9900"
"A10290";"1";"N";"A10290";"405";"5.9900";"2.9900"
"A10290";"1";"N";"A10290";"406";"5.9900";"2.9900"
"A10291";"1";"N";"A10291";"407";"5.9900";"2.9900"
"A10292";"1";"N";"A10292";"408";"5.9900";"2.9900"
"A10292";"1";"N";"A10292";"409";"5.9900";"2.9900"
"A10293";"1";"N";"A10293";"410";"5.9900";"2.9900"
"A10293";"1";"N";"A10293";"411";"5.9900";"2.9900"
"A10294";"1";"N";"A10294";"412";"5.9900";"2.9900"
"A10295";"1";"N";"A10295";"413";"5.9900";"2.9900"
"A10296";"1";"N";"A10296";"414";"5.9900";"2.9900"
"A10296";"1";"N";"A10296";"415";"5.9900";"2.9900"
"A10297";"1";"N";"A10297";"416";"5.9900";"2.9900"
"A10298";"1";"N";"A10298";"417";"7.9900";"2.9900"
"A10299";"1";"N";"A10299";"418";"5.9900";"2.9900"
"A10299";"1";"N";"A10299";"419";"5.9900";"2.9900"
"A10300";"1";"N";"A10300";"420";"5.9900";"2.9900"
"A10301";"1";"N";"A10301";"421";"7.9900";"2.9900"
"A10302";"1";"N";"A10302";"422";"7.9900";"2.9900"
"A10303";"1";"N";"A10303";"423";"7.9900";"2.9900"
"A10304";"1";"N";"A10304";"424";"7.9900";"2.9900"
"A10305";"1";"N";"A10305";"425";"5.9900";"2.9900"
"A10306";"1";"N";"A10306";"426";"5.9900";"2.9900"
"A10307";"1";"N";"A10307";"427";"5.9900";"2.9900"
"A10307";"1";"N";"A10307";"428";"5.9900";"2.9900"
"A10308";"1";"N";"A10308";"429";"5.9900";"2.9900"
"A10309";"1";"N";"A10309";"430";"5.9900";"2.9900"
"A10309";"1";"N";"A10309";"431";"5.9900";"2.9900"
"A10310";"1";"N";"A10310";"432";"5.9900";"2.9900"
"A10310";"1";"N";"A10310";"433";"5.9900";"2.9900"
